Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Percentage Change,Hash Rate
BTC,2014-05-15,443.18,445.045,447.745,441.7333,-0.0042,73057.54817
BTC,2014-05-16,445.6067,443.18,447.1517,442.29,0.0055,80099.23956
BTC,2014-05-17,445.1567,445.6067,446.48,443.7817,-0.001,80539.34527
BTC,2014-05-18,444.7383,445.1567,446.1817,442.35,-0.0009,67776.27963
BTC,2014-05-19,455.6533,444.7383,458.2333,442.0533,0.0245,77898.711
BTC,2014-05-20,489.87,455.6533,494.21,450.1633,0.0751,78778.92242
BTC,2014-05-21,490.1867,489.87,494.4617,487.63,0.0006,78338.81671
BTC,2014-05-22,522.31,490.1867,535.09,487.815,0.0655,73497.65388
BTC,2014-05-23,512.3083,522.31,543.095,511.9733,-0.0191,69536.70248
BTC,2014-05-24,533.93,512.3083,535.725,511.6983,0.0422,87319.1201
BTC,2014-05-25,579.5933,533.93,589.945,533.13,0.0855,78483.25676
BTC,2014-05-26,581.51,579.5933,589.7817,575.84,0.0033,87838.87677
BTC,2014-05-27,572.4483,581.51,591.2417,549.62,-0.0156,67048.61008
BTC,2014-05-28,562.4,572.4483,576.5567,560.415,-0.0176,91996.9301
BTC,2014-05-29,571.845,562.4,573.27,556.2817,0.0168,68088.12341
BTC,2014-05-30,612.1267,571.845,622.5067,566.6967,0.0704,84720.33676
BTC,2014-05-31,638.1633,612.1267,638.9467,610.825,0.0425,79003.01342
BTC,2014-06-01,634.9833,638.1633,676.6033,620.585,-0.005,93036.44344
BTC,2014-06-02,660.2467,634.9833,667.1933,610.9933,0.0398,93036.44344
BTC,2014-06-03,627.7983,660.2467,675.7383,617.7867,-0.0491,97714.25344
BTC,2014-06-04,642.8917,627.7983,650.7633,624.965,0.024,95115.47011
BTC,2014-06-05,652.5267,642.8917,664.9783,639.4283,0.015,75364.71675
BTC,2014-06-06,648.6017,652.5267,657.9417,635.8517,-0.006,86494.36212
BTC,2014-06-07,652.5917,648.6017,656.8467,646.6317,0.0062,89416.46895
BTC,2014-06-08,652.11,652.5917,655.015,649.4133,-0.0007,87663.20486
BTC,2014-06-09,644.085,652.11,653.3467,637.5783,-0.0123,79481.30574
BTC,2014-06-10,642.0067,644.085,657.97,640.465,-0.0032,103442.5817
BTC,2014-06-11,632.55,642.0067,646.385,624.1617,-0.0147,85325.51939
BTC,2014-06-12,585.4833,632.55,633.6617,562.59,-0.0744,90585.31168
BTC,2014-06-13,588.5233,585.4833,613.465,584.635,0.0052,98182.78944
BTC,2014-06-14,570.2883,588.5233,590.7617,541.1933,-0.031,102858.1604
BTC,2014-06-15,589.0667,570.2883,593.5483,551.31,0.0329,108702.374
BTC,2014-06-16,592.2567,589.0667,606.8217,585.685,0.0054,118637.5372
BTC,2014-06-17,610.4133,592.2567,613.9917,590.1883,0.0307,104027.0031
BTC,2014-06-18,601.8867,610.4133,612.8567,599.7233,-0.014,113768.8429
BTC,2014-06-19,594.0933,601.8867,605.9383,590.17,-0.0129,101053.5016
BTC,2014-06-20,582.045,594.0933,595.2167,581.1883,-0.0203,123807.2702
BTC,2014-06-21,599.57,582.045,603.205,581.6867,0.0301,126484.1841
BTC,2014-06-22,592.405,599.57,602.8283,591.495,-0.012,129161.0981
BTC,2014-06-23,584.6417,592.405,593.255,580.84,-0.0131,105738.101
BTC,2014-06-24,575.905,584.6417,588.78,570.4717,-0.0149,132507.2405
BTC,2014-06-25,571.7667,575.905,576.0317,558.5833,-0.0072,124476.4987
BTC,2014-06-26,582.4317,571.7667,584.1633,565.9183,0.0187,114438.0713
